iter	Passed	Remaining
0	15	155204
1	25	127984
2	34	113906
3	44	111322
4	54	108495
5	63	105184
6	72	103628
7	81	101881
8	91	101341
9	100	100410
10	109	99377
11	118	98861
12	127	98189
13	137	98156
14	146	97257
15	156	97836
16	165	97443
17	174	96973
18	183	96324
19	190	95287
20	199	94705
21	208	94457
22	219	95056
23	230	95747
24	243	97264
25	253	97094
26	261	96681
27	269	96133
28	278	95901
29	287	95652
30	295	95177
31	304	94864
32	313	94547
33	321	94337
34	330	94006
35	338	93784
36	347	93509
37	356	93433
38	365	93271
39	373	93124
40	382	92879
41	390	92623
42	400	92662
43	408	92438
44	416	92118
45	424	91772
46	432	91636
47	440	91405
48	449	91367
49	458	91173
50	468	91373
51	481	92199
52	492	92452
53	502	92526
54	512	92594
55	520	92365
56	528	92212
57	538	92257
58	548	92493
59	559	92694
60	571	93083
61	581	93253
62	592	93490
63	603	93737
64	617	94446
65	632	95267
66	642	95218
67	655	95723
68	665	95781
69	675	95793
70	686	96070
71	695	95858
72	704	95748
73	712	95609
74	721	95492
75	732	95647
76	740	95488
77	750	95434
78	758	95227
79	769	95460
80	778	95278
81	786	95136
82	797	95317
83	807	95326
84	816	95247
85	824	95056
86	834	95043
87	842	94904
88	851	94829
89	860	94781
90	869	94655
91	877	94520
92	886	94427
93	894	94285
94	902	94142
95	910	93967
96	920	93935
97	928	93827
98	937	93758
99	945	93601
100	953	93444
101	962	93443
102	971	93386
103	981	93374
104	990	93300
105	998	93178
106	1007	93108
107	1016	93081
108	1025	93018
109	1033	92943
110	1042	92895
111	1051	92825
112	1060	92761
113	1069	92733
114	1078	92701
115	1086	92612
116	1095	92508
117	1105	92553
118	1113	92497
119	1123	92470
120	1131	92370
121	1139	92299
122	1148	92242
123	1157	92175
124	1169	92379
125	1182	92629
126	1190	92546
127	1201	92699
128	1211	92740
129	1222	92787
130	1231	92803
131	1243	92929
132	1253	92970
133	1262	92939
134	1272	93022
135	1283	93111
136	1293	93094
137	1302	93062
138	1310	92983
139	1319	92945
140	1328	92917
141	1338	92917
142	1346	92816
143	1356	92843
144	1364	92762
145	1372	92667
146	1381	92612
147	1391	92615
148	1400	92574
149	1409	92532
150	1417	92445
151	1426	92409
152	1434	92350
153	1443	92304
154	1452	92247
155	1461	92207
156	1469	92137
157	1478	92115
158	1488	92102
159	1497	92077
160	1506	92080
161	1516	92086
162	1525	92035
163	1533	91976
164	1542	91946
165	1551	91940
166	1560	91888
167	1570	91903
168	1579	91877
169	1588	91861
170	1598	91868
171	1608	91925
172	1618	91946
173	1627	91916
174	1635	91835
175	1644	91805
176	1653	91753
177	1662	91725
178	1672	91751
179	1680	91681
180	1689	91671
181	1698	91646
182	1708	91676
183	1718	91669
184	1726	91606
185	1736	91644
186	1745	91591
187	1754	91572
188	1762	91467
189	1771	91443
190	1780	91444
191	1788	91383
192	1797	91338
193	1805	91278
194	1814	91239
195	1823	91215
196	1831	91146
197	1839	91073
198	1848	91034
199	1856	90961
200	1864	90904
201	1874	90936
202	1884	90954
203	1892	90858
204	1900	90801
205	1909	90765
206	1918	90745
207	1927	90723
208	1935	90694
209	1945	90683
210	1953	90632
211	1962	90586
212	1972	90613
213	1980	90567
214	1990	90575
215	1999	90571
216	2009	90595
217	2019	90630
218	2030	90676
219	2041	90775
220	2052	90799
221	2063	90905
222	2077	91105
223	2092	91336
224	2103	91368
225	2117	91585
226	2129	91670
227	2140	91721
228	2151	91807
229	2162	91838
230	2173	91935
231	2183	91948
232	2194	91987
233	2204	92012
234	2214	92022
235	2225	92069
236	2236	92114
237	2246	92158
238	2257	92190
239	2268	92236
240	2279	92307
241	2289	92316
242	2300	92387
243	2311	92418
244	2323	92532
245	2334	92558
246	2345	92613
247	2357	92692
248	2367	92699
249	2377	92740
250	2388	92753
251	2399	92806
252	2410	92868
253	2421	92899
254	2432	92953
255	2443	92998
256	2453	93011
257	2462	92998
258	2473	93033
259	2485	93122
260	2497	93186
261	2508	93220
262	2517	93221
263	2528	93241
264	2539	93307
265	2550	93342
266	2562	93416
267	2572	93429
268	2584	93482
269	2595	93522
270	2604	93510
271	2613	93476
272	2621	93416
273	2630	93388
274	2641	93408
275	2649	93351
276	2658	93299
277	2669	93349
278	2680	93386
279	2690	93413
280	2700	93387
281	2708	93349
282	2717	93321
283	2726	93269
284	2734	93216
285	2744	93209
286	2753	93173
287	2761	93120
288	2771	93113
289	2778	93037
290	2787	93002
291	2797	93007
292	2808	93040
293	2820	93114
294	2834	93256
295	2848	93393
296	2864	93575
297	2881	93799
298	2892	93842
299	2901	93824
300	2911	93825
301	2922	93853
302	2932	93858
303	2942	93855
304	2952	93838
305	2963	93898
306	2976	93973
307	2986	93977
308	2996	93981
309	3006	93964
310	3015	93937
311	3023	93891
312	3032	93853
313	3041	93806
314	3049	93767
315	3057	93709
316	3066	93664
317	3075	93631
318	3084	93609
319	3095	93638
320	3104	93606
321	3112	93538
322	3124	93614
323	3135	93652
324	3145	93632
325	3153	93578
326	3164	93614
327	3175	93647
328	3187	93690
329	3197	93689
330	3205	93647
331	3214	93598
332	3222	93558
333	3232	93541
334	3240	93484
335	3249	93463
336	3257	93413
337	3267	93393
338	3276	93364
339	3284	93320
340	3293	93285
341	3302	93260
342	3313	93294
343	3324	93323
344	3333	93282
345	3343	93292
346	3355	93342
347	3368	93435
348	3380	93478
349	3391	93510
350	3401	93515
351	3414	93591
352	3426	93634
353	3437	93660
354	3449	93711
355	3462	93812
356	3475	93882
357	3487	93932
358	3497	93926
359	3508	93937
360	3517	93918
361	3526	93884
362	3535	93850
363	3544	93819
364	3555	93866
365	3567	93908
366	3579	93943
367	3590	93988
368	3600	93974
369	3610	93974
370	3622	94026
371	3633	94044
372	3644	94069
373	3655	94088
374	3664	94058
375	3673	94028
376	3682	93987
377	3690	93938
378	3699	93900
379	3708	93878
380	3716	93818
381	3724	93785
382	3733	93738
383	3741	93701
384	3750	93660
385	3759	93627
386	3767	93590
387	3775	93542
388	3785	93520
389	3794	93510
390	3803	93472
391	3811	93429
392	3820	93398
393	3829	93368
394	3837	93322
395	3846	93295
396	3855	93255
397	3865	93254
398	3874	93225
399	3883	93193
400	3892	93173
401	3900	93121
402	3908	93078
403	3918	93066
404	3927	93043
405	3937	93038
406	3946	93023
407	3955	92981
408	3964	92956
409	3972	92919
410	3981	92901
411	3991	92886
412	4000	92859
413	4009	92834
414	4018	92801
415	4026	92770
416	4035	92728
417	4043	92684
418	4051	92648
419	4060	92607
420	4070	92605
421	4078	92579
422	4088	92575
423	4097	92542
424	4109	92581
425	4118	92569
426	4132	92656
427	4142	92641
428	4153	92658
429	4161	92623
430	4169	92577
431	4178	92546
432	4187	92531
433	4196	92503
434	4204	92460
435	4213	92425
436	4222	92398
437	4230	92360
438	4239	92327
439	4248	92300
440	4256	92268
441	4265	92234
